<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^BVSP,D,20010406,000000,14428.00,14702.00,14371.00,14485.00,000,0
^BVSP,D,20010409,000000,14489.00,14719.00,14446.00,14719.00,000,0
^BVSP,D,20010410,000000,14725.00,15097.00,14725.00,15048.00,000,0
^BVSP,D,20010411,000000,15057.00,15267.00,14724.00,14819.00,000,0
^BVSP,D,20010412,000000,14811.00,14969.00,14490.00,14969.00,000,0
^BVSP,D,20010416,000000,14974.00,14976.00,14385.00,14445.00,000,0
^BVSP,D,20010417,000000,14443.00,14555.00,14223.00,14337.00,000,0
^BVSP,D,20010418,000000,14345.00,15151.00,14323.00,14955.00,000,0
^BVSP,D,20010419,000000,14956.00,15017.00,14420.00,14431.00,000,0
^BVSP,D,20010420,000000,14408.00,14408.00,13618.00,13696.00,000,0
^BVSP,D,20010423,000000,13734.00,13893.00,13325.00,13893.00,000,0
^BVSP,D,20010424,000000,13894.00,14207.00,13894.00,14068.00,000,0
^BVSP,D,20010425,000000,14062.00,14223.00,13785.00,14163.00,000,0
^BVSP,D,20010426,000000,14204.00,14770.00,14202.00,14757.00,000,0
^BVSP,D,20010427,000000,14752.00,15135.00,14752.00,14928.00,000,0
^BVSP,D,20010430,000000,14944.00,15210.00,14838.00,14918.00,000,0
^BVSP,D,20010502,000000,14877.00,14920.00,14636.00,14897.00,000,0
^BVSP,D,20010503,000000,14906.00,15142.00,14762.00,15142.00,000,0
^BVSP,D,20010504,000000,15142.00,15304.00,15041.00,15093.00,000,0
^BVSP,D,20010507,000000,15103.00,15222.00,14862.00,14875.00,000,0
^BVSP,D,20010508,000000,14861.00,14958.00,14656.00,14747.00,000,0
^BVSP,D,20010509,000000,14717.00,14867.00,14576.00,14779.00,000,0
^BVSP,D,20010510,000000,14796.00,15117.00,14796.00,14993.00,000,0
^BVSP,D,20010511,000000,15012.00,15018.00,14410.00,14493.00,000,0
^BVSP,D,20010514,000000,14499.00,14507.00,14104.00,14237.00,000,0
^BVSP,D,20010515,000000,14141.00,14314.00,14110.00,14226.00,000,0
^BVSP,D,20010516,000000,14256.00,14738.00,14256.00,14714.00,000,0
^BVSP,D,20010517,000000,14727.00,15095.00,14725.00,14794.00,000,0
^BVSP,D,20010518,000000,14848.00,15012.00,14800.00,14884.00,000,0
^BVSP,D,20010521,000000,14871.00,15158.00,14807.00,15128.00,000,0
^BVSP,D,20010522,000000,15142.00,15197.00,14794.00,14829.00,000,0
^BVSP,D,20010523,000000,14829.00,14905.00,14627.00,14692.00,000,0
^BVSP,D,20010524,000000,14694.00,14834.00,14431.00,14523.00,000,0
^BVSP,D,20010525,000000,14523.00,14589.00,14179.00,14310.00,000,0
^BVSP,D,20010528,000000,14328.00,14439.00,14056.00,14302.00,000,0
^BVSP,D,20010529,000000,14302.00,14489.00,14301.00,14454.00,000,0
^BVSP,D,20010530,000000,14459.00,14579.00,14347.00,14489.00,000,0
^BVSP,D,20010531,000000,14514.00,14724.00,14508.00,14650.00,000,0
